202-5-70-26;4;6;9;202;5;70;26;ILIOUPOLI;;23 45 44;37 55 16;270;65;;;;;;;o
202-5-70-27;4;6;9;202;5;70;27;ILIOUPOLI;;23 45 44;37 55 16;310;65;;;;;;;
202-5-23-35;4;6;9;202;5;23;35;PIREAS;;23 38 46;37 56 32;60;65;;;;;;;
202-5-23-36;4;6;9;202;5;23;36;PIREAS;;23 38 46;37 56 32;180;65;;;;;;;
202-5-23-37;4;6;9;202;5;23;37;PIREAS;;23 38 46;37 56 32;300;65;;;;;;;
202-5-70-62;4;6;9;202;5;70;62;GLYFADA;;23 46 59;37 51 27;180;65;;;;;;;
202-5-70-63;4;6;9;202;5;70;63;GLYFADA;;23 46 59;37 51 27;300;65;;;;;;;
202-5-70-66;4;6;9;202;5;70;66;GLYFADA;;23 46 59;37 51 27;180;65;;;;;;;
202-5-70-67;4;6;9;202;5;70;67;GLYFADA;;23 46 59;37 51 27;300;65;;;;;;;
202-5-63-85;4;6;9;202;5;63;85;ORHOMENOS CNR;;22 58 30;38 29 26;60;65;;;;;;;
202-5-63-86;4;6;9;202;5;63;86;ORHOMENOS CNR;;22 58 30;38 29 26;200;65;;;;;;;
202-5-63-87;4;6;9;202;5;63;87;ORHOMENOS CNR;;22 58 30;38 29 26;300;65;;;;;;;
202-5-61-91;4;6;9;202;5;61;91;IMITOS;;23 49 08;37 57 34;60;65;;;;;;;
202-5-61-92;4;6;9;202;5;61;92;IMITOS;;23 49 08;37 57 34;100;65;;;;;;;
202-5-61-93;4;6;9;202;5;61;93;IMITOS;;23 49 08;37 57 34;150;65;;;;;;;
202-5-61-95;4;6;9;202;5;61;95;IMITOS;;23 49 08;37 57 34;60;65;;;;;;;
202-5-61-97;4;6;9;202;5;61;97;IMITOS;;23 49 08;37 57 34;150;65
202-5-35-111;4;6;9;202;5;35;111;EGALEO;;23 41 12;37 59 24;34;65
202-5-35-112;4;6;9;202;5;35;112;EGALEO;;23 41 12;37 59 24;152;65
202-5-35-113;4;6;9;202;5;35;113;EGALEO;;23 41 12;37 59 24;271;65
202-5-35-115;4;6;9;202;5;35;115;EGALEO;;23 41 12;37 59 24;26;65
202-5-35-116;4;6;9;202;5;35;116;EGALEO;;23 41 12;37 59 24;158;65
202-5-35-117;4;6;9;202;5;35;117;EGALEO;;23 41 12;37 59 24;277;65
202-5-82-141;4;6;9;202;5;82;141;MARATHONAS;;23 56 42;38 11 37;60;65
202-5-82-142;4;6;9;202;5;82;142;MARATHONAS;;23 56 42;38 11 37;170;65
202-5-82-143;4;6;9;202;5;82;143;MARATHONAS;;23 56 42;38 11 37;290;65
202-5-82-145;4;6;9;202;5;82;145;MARATHONAS;;23 56 42;38 11 37;60;65
202-5-82-146;4;6;9;202;5;82;146;MARATHONAS;;23 56 42;38 11 37;170;65
202-5-82-147;4;6;9;202;5;82;147;MARATHONAS;;23 56 42;38 11 37;290;65
202-5-63-151;4;6;9;202;5;63;151;MALAKASA;;23 47 09;38 14 03;100;65
202-5-63-153;4;6;9;202;5;63;153;MALAKASA;;23 47 09;38 14 03;315;65
202-5-82-170;4;6;9;202;5;82;170;AG.DIMITRIOS;;23 53 47;37 47 14;40;65
202-5-82-171;4;6;9;202;5;82;171;AG.DIMITRIOS;;23 53 47;37 47 14;90;65
202-5-82-172;4;6;9;202;5;82;172;AG.DIMITRIOS;;23 53 47;37 47 14;155;65
202-5-82-173;4;6;9;202;5;82;173;AG.DIMITRIOS;;23 53 47;37 47 14;215;65
202-5-82-174;4;6;9;202;5;82;174;AG.DIMITRIOS;;23 53 47;37 47 14;290;65
