202-01-50-11;KAROLOU A (GSM1800 );23 43 26;37 59 89;70;65;17;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-11;KAROLOU K (UMTS2100 );23 43 26;37 59 89;30;63;35;KENTRO ATHINAS;KAROLOY 2-6
202-01-50-12;KAROLOU B (GSM1800 );23 43 26;37 59 89;150;65;16;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-12;KAROLOU L (UMTS2100 );23 43 26;37 59 89;150;64;15;KENTRO ATHINAS;KAROLOY 2-6
202-01-50-13;KAROLOU C (GSM1800 );23 43 26;37 59 89;270;0;12;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-13;KAROLOU M (UMTS2100 );23 43 26;37 59 89;270;0;12;KENTRO ATHINAS;KAROLOY 2-6
202-01-50-14;KAROLOU D (GSM1800 );23 43 26;37 59 89;350;65;22;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-14;KAROLOU N (UMTS2100 );23 43 26;37 59 89;30;63;35;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-15;KAROLOU O (UMTS2100 );23 43 26;37 59 89;150;64;15;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-16;KAROLOU P (UMTS2100 );23 43 26;37 59 89;270;0;12;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-17;KAROLOU R (UMTS2100 );23 43 26;37 59 89;30;63;35;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-18;KAROLOU S (UMTS2100 );23 43 26;37 59 89;150;64;15;KENTRO ATHINAS;KAROLOY 2-6
202-01-50-18;KAROLOU V (GSM900 );23 43 26;37 59 89;150;65;15;KENTRO ATHINAS;KAROLOY 2-6
202-01-1010-19;KAROLOU T (UMTS2100 );23 43 26;37 59 89;270;0;12;KENTRO ATHINAS;KAROLOY 2-6
202-01-43-20;DAFNI Z (GSM900 );23 44 18;37 56 47;320;66;18;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-43-21;DAFNI A (GSM1800 );23 44 18;37 56 47;70;65;35;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-21;DAFNI K (UMTS2100 );23 44 18;37 56 47;70;0;39;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-43-22;DAFNI B (GSM1800 );23 44 18;37 56 47;150;65;34;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-22;DAFNI L (UMTS2100 );23 44 18;37 56 47;190;63;45;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-43-23;DAFNI C (GSM1800 );23 44 18;37 56 47;240;0;15;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-23;DAFNI M (UMTS2100 );23 44 18;37 56 47;325;0;18;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-43-24;DAFNI D (GSM1800 );23 44 18;37 56 47;320;68;15;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-24;DAFNI N (UMTS2100 );23 44 18;37 56 47;70;0;45;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-43-25;DAFNI E (GSM1800 );23 44 18;37 56 47;320;68;20;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-25;DAFNI O (UMTS2100 );23 44 18;37 56 47;190;63;45;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-26;DAFNI P (UMTS2100 );23 44 18;37 56 47;325;0;18;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-27;DAFNI R (UMTS2100 );23 44 18;37 56 47;70;0;45;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-28;DAFNI S (UMTS2100 );23 44 18;37 56 47;190;63;45;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-1002-29;DAFNI T (UMTS2100 );23 44 18;37 56 47;325;0;15;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
202-01-43-29;DAFNI W (GSM900 );23 44 18;37 56 47;240;0;35;AGIOS DIMITRIOS;EYTERPIS and ARHIMIDOYS
